team,wk,season,fg.,ft.,X3p,trb,ast,stl,blk,tov,pts
Team Broucek,9,1,0.4799,0.8219,36,217,128,37,20,72,586
No Look No Pass,9,1,0.4484,0.8089,43,270,118,37,35,66,648
Team Sarkarati,9,1,0.4526,0.8194,39,248,110,25,26,57,625
Team Sarkarati,10,1,0.4679,0.75,52,215,115,40,28,80,597
Delonte's Donuts,10,1,0.5207,0.7526,59,198,97,37,37,87,610
Windy City Poohdinis,10,1,0.4534,0.773,31,222,139,37,21,86,575
"Paul George, John and Ringo",10,1,0.4112,0.7483,40,177,122,27,25,65,516
Conor's Tomcats,10,1,0.4655,0.7,51,221,105,41,30,79,499
Team Broucek,10,1,0.4747,0.7523,34,270,174,56,32,94,724
Sami's Mannschaft,10,1,0.4524,0.8433,42,221,88,32,16,59,621
Conquest Pain,10,1,0.4405,0.7554,47,230,128,51,37,85,596
No Look No Pass,10,1,0.4598,0.7789,31,209,104,41,24,73,471
Double Double,10,1,0.4611,0.7203,49,279,142,49,33,68,614
Delonte's Donuts,11,1,0.4559,0.75,66,222,173,61,37,98,745
Double Double ,11,1,0.4639,0.773,54,293,166,45,24,77,729
Team Sarkarati,11,1,0.4599,0.7806,34,220,115,38,23,80,579
Team Broucek,11,1,0.4281,0.7835,42,256,185,72,33,113,676
Conquest Pain,11,1,0.4685,0.7724,44,252,129,40,28,80,662
"Paul George, John and Ringo",11,1,0.4279,0.85,38,200,112,44,18,73,508
Windy City Poohdinis,11,1,0.458,0.7006,20,244,124,37,23,84,544
No Look No Pass,11,1,0.4294,0.7967,33,266,126,52,42,84,569
Sami's Mannschaft,11,1,0.4376,0.8062,46,248,101,41,27,86,564
Conor's Tomcats,11,1,0.432,0.6852,27,258,123,31,37,67,457
Delonte's Donuts,12,1,0.4772,0.8304,63,269,131,53,34,91,687
Windy City Poohdinis,12,1,0.4476,0.7578,31,254,146,44,20,93,631
No Look No Pass,12,1,0.5142,0.8646,28,193,111,32,23,60,509
Conquest Pain,12,1,0.4862,0.7342,60,245,145,45,20,113,740
Team Broucek,12,1,0.4745,0.816,31,149,125,43,22,62,505
Sami's Mannschaft,12,1,0.4553,0.75,38,217,118,44,17,83,566
Double Double,12,1,0.4416,0.8608,40,253,137,42,29,73,622
Team Sarkarati,12,1,0.4334,0.8088,23,188,109,32,30,50,491
"Paul George, John and Ringo",12,1,0.4877,0.7813,61,231,150,33,27,67,637
Conor's Tomcats,12,1,0.4881,0.6667,44,230,109,47,33,89,492
No Look No Pass,13,1,0.4527,0.7754,40,265,128,39,27,80,559
Delonte's Donuts,13,1,0.4374,0.7759,53,226,156,51,37,70,684
